key_type,key,smiles
cas,28.0,OC1=CC2=C(CC3=CC=CC=C23)C=C1
cas,19.0,CCN(CCC#N)C1=CC=C(C=C1)N=NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O
cas,22.0,NC1=CC=C(OC2=CC(OC3=CC=C(N)C=C3)=CC=C2)C=C1
cas,47.0,CCCCCC1=CC=C(O)C=C1
cas,2.0,NC1=C(C=CC=C1)C#N
cas,14.0,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O
cas,10.0,CCCCCC1=CC=CO1
cas,0.0,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
cas,20.0,OC(=O)C1=CC(=CC=C1)N(CC1=CN=CC=C1)C1=CC=C(OC(F)F)C(OC(F)F)=C1
cas,1.0,COCC(C)N(C(=O)CS(O)(=O)=O)C1=CSC=C1C
cas,34.0,F[C@@H](CO[C@H]1CC[C@@H](CC1)NC1=C2C=NN=C2N=CN1)C1=CC=CC=C1F
cas,7.0,CC(C)CC=C(C=O)C1=CC=CC=C1
cas,4.0,CN1NN=NC1=S
cas,58.0,CCCC[Sn](CCCC)(CCCC)OC(=O)C=C
cas,26.0,Cl.CN(C)CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2
cas,3.0,CCCCCCC(=O)C1=CC=CC=C1
cas,27.0,OC12N=C(SC1CC1=CC(Cl)=CC=C21)C1=CC=CC=C1
cas,11.0,FC1=CC(Br)=C(C=C1)C(=O)NS(=O)(=O)\C=C\C1=CC=CS1
cas,15.0,[Na+].CCCCCCCCC1=CC=C(C=C1)S([O-])(=O)=O
cas,29.0,ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl
cas,8.0,CCCCC(CC)COC(=O)C=C
cas,6.0,CCCCCC=CC=CC=C
cas,54.0,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC=C(O)C(OC)=C2)=CC=C1O
cas,17.0,COC(=O)[C@]1(C)CCC[C@]2(C)[C@H]3CCC(=CC3=CC[C@@H]12)C(C)C
cas,49.0,CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1
cas,16.0,CCOC(=O)C(C#N)=C(C1=CC=CC=C1)C1=CC=CC=C1
cas,41.0,CO\C=C(\C(=O)OC)C1=C(COC2=NC(=CC=C2)C(F)(F)F)C=CC=C1
cas,18.0,[O-][N+](=O)C1=CC=[N+]([O-])C=C1
cas,25.0,OC1=CC=C(C=C1)C(=O)OCC1=CC=CC=C1
cas,23.0,CC1=C(Br)C(O)=C(Br)C=C1C1(OS(=O)(=O)C2=CC=CC=C12)C1=CC(Br)=C(O)C(Br)=C1C
cas,5.0,CSSC1=C(C)OC=C1
cas,42.0,CC(C)(C1=CC(=C(O)C=C1)C1=CC=CC=C1)C1=CC(=C(O)C=C1)C1=CC=CC=C1
cas,9.0,[Na+].CC(C)CP([S-])(=S)CC(C)C
cas,37.0,CCC1=NN(C2CCCCC2)C2=C1C=CC(=C2)[C@]1(CC[C@@H](CC1)C(O)=O)C#N
cas,12.0,C1=CC2=CC3=C(C=C2C=C1)C1=CC=CC=C1C1=CC=CC=C31
cas,13.0,Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1
cas,30.0,CC(C)(O)C1=NC2=NC=C(N2N=C1)C1=CC(=C(F)C=C1)C1=C(C=CC=C1F)C#N
cas,46.0,CCCCC(CC)COC(=O)C1=C(Br)C(Br)=C(Br)C(Br)=C1
cas,31.0,CC1=C(CSC2=CC(C)=C(OCC(O)=O)C=C2)SC(=N1)C1=CC=C(C(F)=C1)C(F)(F)F
cas,44.0,OC1=C(CC=C)C=C(C=C1)S(=O)(=O)C1=CC(CC=C)=C(O)C=C1
cas,21.0,CSC(=O)C1=C(N=C(C(C(=O)SC)=C1CC(C)C)C(F)(F)F)C(F)F
cas,59.0,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]
cas,32.0,OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl
cas,62.0,[I-].[I-].[Hg++]
cas,40.0,C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1
cas,24.0,CCN(CC)C1=C(C=C(C(N)=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
cas,45.0,CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O
cas,35.0,FC(F)(F)[C@]1(OC(=O)NC2=CC=C(Cl)C=C12)C#CC1CC1
cas,39.0,COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1
cas,33.0,OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=CC=C1
cas,60.0,Cl.CN(C)C(=O)C1(CCN(CC[C@]2(CN(CCO2)C(=O)C2=CC=CC=C2)C2=CC=C(Cl)C(Cl)=C2)CC1)N1CCCCC1
cas,57.0,O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
cas,52.0,Cl.CCCCCCCCCCCCN
cas,61.0,O=C1C2=C(SC(C#N)=C(S2)C#N)C(=O)C2=C1C=CC=C2
cas,64.0,[Cl-].CCNC1=CC=C(C(C2=CC=C(C=C2)N(CC)CC)=C2C=CC(C=C2)=[N+](CC)CC)C2=C1C=CC=C2
cas,43.0,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)C1=CC=C(C)C=C1
cas,53.0,OC1=C(Cl)C=C(Cl)C=C1SC1=C(O)C(Cl)=CC(Cl)=C1
cas,51.0,CCCC[Sn](Cl)(Cl)CCCC
cas,55.0,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
cas,38.0,Cl.COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1
cas,50.0,CCC(C)C1=CC(=CC(=C1OC(=O)C=C(C)C)[N+]([O-])=O)[N+]([O-])=O
cas,36.0,OC1=C(I)C=C(I)C=C1I
cas,100.0,O.O.O.[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
cas,67.0,CCCC[Sn](Cl)(CCCC)CCCC
cas,56.0,[Cl-].CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC
cas,73.0,CC(=O)O[Pb](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
cas,48.0,OC1=CC2=C(C=CC=C2)C2=CC=CC=C12
cas,69.0,CC1=CC=C(C=C1)S(=O)(=O)C(I)I
cas,63.0,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C
cas,66.0,[Hg++].CC([O-])=O.CC([O-])=O
cas,65.0,Cl[Hg]C1=CC=CC=C1
cas,75.0,[O-][N+](=O)C1=CC(=CC=C1NC1=CC=CC=C1)S(=O)(=O)NC1=CC=CC=C1
cas,68.0,CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C
cas,"2040469-40-5, 2422121-34-2",
cas,99728-55-9,
cas,2187449-53-0,
cas,90244-99-8,
cas,8001-29-4,
cas,1340-06-3,
cas,-,
cas,109-86-4,
cas,2040473-30-9,
cas,30636-90-9,
cas,59354-71-1,
cas,10031-71-7,
cas,112-47-0,
cas,41199-19-3,
cas,65405-72-3,
cas,613-03-6,
cas,533-73-3,
cas,106-69-4,
cas,584-03-2,
cas,18479-51-1,
cas,3710-31-4,
cas,6920-22-5,
cas,74918-21-1,
cas,81892-72-0,
cas,38661-72-2,
cas,68083-58-9,
cas,104516-97-4,
cas,106-86-5,
cas,110-63-4,
cas,2082-81-7,
cas,67423-06-7,
cas,119553-67-2,
cas,1076-97-7,
cas,13786-79-3 / 71735-79-0,
cas,7779-23-9,
cas,83-56-7,
cas,111-29-5,
cas,822-06-0,
cas,124-09-4,
cas,575-38-2,
cas,941-98-0,
cas,5697-02-9,
cas,878476-91-6,
cas,31996-78-8,
cas,67663-05-2,
cas,1438-94-4,
cas,4798-44-1,
cas,1361000-03-4,
cas,155601-30-2,
cas,67920-94-9,
cas,68921-26-6,
cas,138-87-4,
cas,6876-12-6,
cas,10198-23-9,
cas,14936-67-5,
cas,60-27-5,
cas,86-87-3,
cas,90-15-3,
cas,108-03-2,
cas,21964-44-3,
cas,616-25-1,
cas,2114-29-6,
cas,7779-30-8,
cas,68480-14-8,
cas,15766-66-2,
cas,1679-53-4,
cas,765-01-5,
cas,638-26-6,
cas,112-19-6,
cas,345294-78-2,
cas,"958-09-8,16373-93-6",
cas,63969-46-0,
cas,27311-52-0,
cas,97-24-5,
cas,1009-62-7,
cas,643-53-8,
cas,67801-27-8,
cas,2416-94-6,
cas,513-85-9; 5341-95-7; 24347-58-8,
cas,857035-95-1,
cas,15707-24-1,
cas,116-26-7,
cas,53153-67-6,
cas,71850-78-7,
cas,950-81-2,
cas,3033-77-0,
cas,92-44-4,
cas,526-75-0,
cas,1423-46-7,
cas,67801-30-3,
cas,5182-36-5,
cas,67634-05-3,
cas,113715-25-6,
