id_type,id,cid,smiles,source
cas,100-42-5,,C=Cc1ccccc1,cir_cas
cas,100-44-7,,ClCc1ccccc1,cir_cas
cas,101-54-2,,Nc1ccc(Nc2ccccc2)cc1,cir_cas
cas,102-71-6,,OCCN(CCO)CCO,cir_cas
cas,106-50-3,,Nc1ccc(N)cc1,cir_cas
cas,107-21-1,,OCCO,cir_cas
cas,108-05-4,,CC(=O)OC=C,cir_cas
cas,108-88-3,,Cc1ccccc1,cir_cas
cas,111-42-2,,OCCNCCO,cir_cas
cas,11103-57-4,,CC(=C\CO)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,cir_cas
cas,1116-54-7,,OCCN(CCO)N=O,cir_cas
cas,119-61-9,,O=C(c1ccccc1)c2ccccc2,cir_cas
cas,120-40-1,,CCCCCCCCCCCC(=O)N(CCO)CCO,cir_cas
cas,12001-26-2,,,not_found
cas,123-35-3,,CC(C)=CCCC(=C)C=C,cir_cas
cas,123-91-1,,C1COCCO1,cir_cas
cas,127-47-9,,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,cir_cas
cas,131-55-5,,Oc1ccc(c(O)c1)C(=O)c2ccc(O)cc2O,cir_cas
cas,131-57-7,,COc1ccc(c(O)c1)C(=O)c2ccccc2,cir_cas
cas,1317-70-0,,O=[Ti]=O,cir_cas
cas,1317-80-2,,O=[Ti]=O,cir_cas
cas,1333-86-4,,,not_found
cas,13463-67-7,,O=[Ti]=O,cir_cas
cas,139-96-8,,CCCCCCCCCCCCO[S](O)(=O)=O.OCCN(CCO)CCO,cir_cas
cas,140-67-0,,COc1ccc(CC=C)cc1,cir_cas
cas,140-88-5,,CCOC(=O)C=C,cir_cas
cas,14807-96-6,,[Mg++].[Mg++].[Mg++].O[Si]([O-])=O.O[Si]([O-])=O.[O-][Si]([O-])=O.[O-][Si]([O-])=O,cir_cas
cas,14808-60-7,,O=[Si]=O,cir_cas
cas,25013-16-5,,COc1ccc(O)c(c1)C(C)(C)C,cir_cas
cas,2646-17-5,,Cc1ccccc1N\N=C2/C(=O)C=Cc3ccccc23,cir_cas
cas,301-04-2,,[Pb++].CC([O-])=O.CC([O-])=O,cir_cas
cas,302-79-4,,CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)(C)CCC1,cir_cas
cas,30525-89-4,,C=O,cir_cas
cas,3296-90-0,,OCC(CO)(CBr)CBr,cir_cas
cas,331-39-5,,OC(=O)\C=C/c1ccc(O)c(O)c1,cir_cas
